ds,y
2021-05-30 00:00,5115.27
2021-05-30 00:15,5095.92
2021-05-30 00:30,5078.15
2021-05-30 00:45,5106.33
2021-05-30 01:00,5149.9
2021-05-30 01:15,5112.55
2021-05-30 01:30,5122.09
2021-05-30 01:45,5072.88
2021-05-30 02:00,4954.85
2021-05-30 02:15,5153.2
2021-05-30 02:30,5182.58
2021-05-30 02:45,5172.74
2021-05-30 03:00,5155.68
2021-05-30 03:15,4872.52
2021-05-30 03:30,5117.86
2021-05-30 03:45,5206.67
2021-05-30 04:00,5139.09
2021-05-30 04:15,5111.23
2021-05-30 04:30,5158.4
2021-05-30 04:45,5136.6
2021-05-30 05:00,5173.94
2021-05-30 05:15,5164.02
2021-05-30 05:30,5147.71
2021-05-30 05:45,5174.06
2021-05-30 06:00,5215.04
2021-05-30 06:15,5095.19
2021-05-30 06:30,5327.98
2021-05-30 06:45,5238.26
2021-05-30 07:00,5219.61
2021-05-30 07:15,5229.72
2021-05-30 07:30,5240.06
2021-05-30 07:45,5242.5
2021-05-30 08:00,5291.86
2021-05-30 08:15,5277.29
2021-05-30 08:30,5177.01
2021-05-30 08:45,5233.72
2021-05-30 09:00,5215.59
2021-05-30 09:15,5206.86
2021-05-30 09:30,5254.06
2021-05-30 09:45,5286.66
2021-05-30 10:00,5238.52
2021-05-30 10:15,5329.49
2021-05-30 10:30,5269.83
2021-05-30 10:45,5220.43
2021-05-30 11:00,5240.11
2021-05-30 11:15,5270.85
2021-05-30 11:30,5216.44
2021-05-30 11:45,5575.31
2021-05-30 12:00,5554.85
2021-05-30 12:15,5536.3
2021-05-30 12:30,5543.77
2021-05-30 12:45,5618.68
2021-05-30 13:00,5526.1
2021-05-30 13:15,5552.87
2021-05-30 13:30,5515.51
2021-05-30 13:45,5568.8
2021-05-30 14:00,5476.93
2021-05-30 14:15,5557.97
2021-05-30 14:30,5877.08
2021-05-30 14:45,5903.07
2021-05-30 15:00,6063.71
2021-05-30 15:15,6083.47
2021-05-30 15:30,6010.74
2021-05-30 15:45,6733.89
2021-05-30 16:00,7525.52
2021-05-30 16:15,7620.25
2021-05-30 16:30,7902.74
2021-05-30 16:45,7992.91
2021-05-30 17:00,8064.47
2021-05-30 17:15,8054.92
2021-05-30 17:30,8140.8
2021-05-30 17:45,8226.02
2021-05-30 18:00,8140.44
2021-05-30 18:15,8021.26
2021-05-30 18:30,8113.3
2021-05-30 18:45,8270.1
2021-05-30 19:00,8161.69
2021-05-30 19:15,8090.7
2021-05-30 19:30,8248.75
2021-05-30 19:45,8436.95
2021-05-30 20:00,8374.74
2021-05-30 20:15,8361.32
2021-05-30 20:30,8357.56
2021-05-30 20:45,8494.84
2021-05-30 21:00,8375.41
2021-05-30 21:15,8302.05
2021-05-30 21:30,8250.44
2021-05-30 21:45,8338.94
2021-05-30 22:00,8314.15
2021-05-30 22:15,8371.17
2021-05-30 22:30,8342.28
2021-05-30 22:45,8290.78
2021-05-30 23:00,6816.94
2021-05-30 23:15,7546.28
2021-05-30 23:30,7402.31
2021-05-30 23:45,7166.34
2021-05-31 00:00,7604.77
2021-05-31 00:15,7770.99
2021-05-31 00:30,7757.01
2021-05-31 00:45,7830.48
2021-05-31 01:00,7816.3
2021-05-31 01:15,7817.01
2021-05-31 01:30,7860.1
2021-05-31 01:45,8034.28
2021-05-31 02:00,7993.14
2021-05-31 02:15,8168.32
2021-05-31 02:30,8103.03
2021-05-31 02:45,7878.64
2021-05-31 03:00,7782.6
2021-05-31 03:15,7735.88
2021-05-31 03:30,7876.73
2021-05-31 03:45,7736.37
2021-05-31 04:00,8057.71
2021-05-31 04:15,7997.5
2021-05-31 04:30,8079.63
2021-05-31 04:45,8155.31
2021-05-31 05:00,8208.57
2021-05-31 05:15,8194.99
2021-05-31 05:30,8207.83
2021-05-31 05:45,5647.13
2021-05-31 06:00,5267.87
2021-05-31 06:15,4201.28
2021-05-31 06:30,5399.33
2021-05-31 06:45,4986.73
2021-05-31 07:00,5024.63
2021-05-31 07:15,5354.42
2021-05-31 07:30,5334.24
2021-05-31 07:45,5370.57
2021-05-31 08:00,5384.98
2021-05-31 08:15,5412.15
2021-05-31 08:30,5302.81
2021-05-31 08:45,6953.77
2021-05-31 09:00,7823.42
2021-05-31 09:15,8258.04
2021-05-31 09:30,8125.19
2021-05-31 09:45,8006.42
2021-05-31 10:00,7912.54
2021-05-31 10:15,8039.96
2021-05-31 10:30,8124.37
2021-05-31 10:45,8169.38
2021-05-31 11:00,8131.97
2021-05-31 11:15,8282.35
2021-05-31 11:30,8439.8
2021-05-31 11:45,8465.0
2021-05-31 12:00,8347.57
2021-05-31 12:15,8254.14
2021-05-31 12:30,8270.04
2021-05-31 12:45,8221.33
2021-05-31 13:00,8114.62
2021-05-31 13:15,8157.37
2021-05-31 13:30,7910.09
2021-05-31 13:45,8149.57
2021-05-31 14:00,8212.83
2021-05-31 14:15,8355.05
2021-05-31 14:30,8274.3
2021-05-31 14:45,8341.99
2021-05-31 15:00,8421.19
2021-05-31 15:15,8444.93
2021-05-31 15:30,8269.09
2021-05-31 15:45,8321.2
2021-05-31 16:00,8010.21
2021-05-31 16:15,7740.05
2021-05-31 16:30,8033.78
2021-05-31 16:45,8125.56
2021-05-31 17:00,8671.72
2021-05-31 17:15,8843.14
2021-05-31 17:30,8203.33
2021-05-31 17:45,8251.43
2021-05-31 18:00,8251.43
2021-05-31 18:15,7803.46
2021-05-31 18:30,7673.13
2021-05-31 18:45,7795.34
2021-05-31 19:00,8084.89
2021-05-31 19:15,6837.81
2021-05-31 19:30,6806.7
2021-05-31 19:45,6685.53
2021-05-31 20:00,6795.69
2021-05-31 20:15,7158.29
2021-05-31 20:30,7121.13
2021-05-31 20:45,7199.72
2021-05-31 21:00,7142.57
2021-05-31 21:15,7303.28
2021-05-31 21:30,8556.63
2021-05-31 21:45,8227.27
2021-05-31 22:00,6479.54
2021-05-31 22:15,6788.72
2021-05-31 22:30,7963.31
2021-05-31 22:45,8032.29
